Manx,English,Notes
"Va ee soie, çheu-mooie jeh'n dorrys singal, ","She sat outside the door singing,",Then at her door the 'canty' Dame
Va yn coraa eck myr y lhon.,Her voice was as harmonious as a blackbird.,"Would sit, as any linnet, gay.   "
"Agh tra harragh rioee as sniaghtey, ","But when ice and snow would come,","But when the ice our streams did fetter,"
"Ny shenn chraueyn eck va craa, ","Her old bones were shaking,",Oh then how her old bones would shake!
"As er y chooyl va sleih goaill boght jeh, ","And straight away people took her to be poor,","You would have said, if you had met her,"
Dy drogh da Goody Blake yn traa. ,That times were bad for Goody Blake.,'Twas a hard time for Goody Blake.
"Va’n fastyr hene j’ee doogh dy mie, ","Even the evenings were pretty dire for her,",Her evenings then were dull and dead:
"Agh[2] smooinee shiu nagh treih va cooish, ","O think how sad a case it was 
[2] Agh] taken here to be [Ugh] — an interjection of disappointment, frustration or defeat (Cregeen).","Sad case it was, as you may think,"
"Tra she feer feayr va’ee goll dy lhie, ","When very cold, she was going to bed,",For very cold to go to bed;
Agh fud-ny-hoie ’sy lhiabee dooisht.,But all night in bed awake.,And then for cold not sleep a wink.
"Ve jannoo boggey j’ee ’sy gheurey, ",It made her glad in the winter;,O joy for her! whene'er in winter
"Yn traa va yn gheay vooar sheidey wheesh, ","When the great wind blew so much,",The winds at night had made a rout;                        
Ny biljyn ass ny fraueyn reuyrey,"The trees from the roots were uprooting,",And scattered many a lusty splinter
As ny banglaneyn ock va brisht. ,And their boughs were broken.,And many a rotten bough about.]
"Ny yeih cha row eck, çhing ny slane, ","Yet never had she, sick or well,","Yet never had she, well or sick,"
"Wheesh ayns stoyr, ta sleih dy ghra, ","So much in store, people say,","As every man who knew her says,"
Dy vrasnaghyn çhymsit traa shen,"Of gathered sticks then,","A pile beforehand, turf or stick,"
Va fit dy yannoo ee three laa. ,That was fit to do her three days.,Enough to warm her for three days.
"Agh tra veagh rio as lane dy feayraght, ","Oh, when there would be ice and a lot of cold,","Now, when the frost was past enduring,"
"Cre’n pian veagh ayns ny craueyn eck, ","What a pain would be in her bones,","And made her poor old bones to ache,"
Row red erbee veagh lieh cha cleaynagh ,Was there anything that would be lying so alluring,Could any thing be more alluring
As shenn chleiy drine da Goody Blake?,As an old thorn hedge to Goody Blake?,Than an old hedge to Goody Blake?                          
"Agh eisht ny cheayrtyn, sleih ta ginsh, ","And then sometimes, people tell,","And, now and then, it must be said,"
"Tra va yn feayraght farraght’ sthill, ","When the cold was still persisting,","When her old bones were cold and chill,"
Va ec faagit aile as lhiabbee neesht ,"The fire and bed as well she was leaving,","She left her fire, or left her bed,"
As goll gys cleiy lesh Harry Gill.,And going to one of  Harry Gill’s hedges.,To seek the hedge of Harry Gill.
Va Harry gourys car ny bleeaney,"Harry was suspecting all year,",Now Harry he had long suspected
"Yn maarlys shoh jeh Goody Blake, ","Goody Blake of this theft,",This trespass of old Goody Blake;
As loo dy ghoaill urree cooilleeney ,And swore to take revenge upon her,And vowed that she should be detected--
"Tra veagh ee goit, as brasnag eck. ","Whe she’ be caught, with a stick.",That he on her would vengeance take.
Veih keeil-çhiollee ve e chliaghtey ,"From (the) fireside it was his habit,","And oft from his warm fire he'd go,"
Magh ayns feayraght goll dy ghleck ,"Out in coldness going to seize,",And to the fields his road would take;                      
Fud ny hoie ayns rio as sniaghtey ,"All night in ice and snow,","And there, at night, in frost and snow,"
Son dy haartyn Goody Blake.,"For to catch Goody Blake,",He watched to seize old Goody Blake.
Agh keayrt dy row cooyl thurran arroo ,"But once, behind a rick of barley,","And once, behind a rick of barley,"
Va Harry jeeaghyn magh myr shoh ,Harry was looking out thus,Thus looking out did Harry stand:
"Ve mullagh eayst traa shen dy jarroo, ","The moon was full then indeed,","The moon was full and shining clearly,"
As yn thalloo creoi dy rio ,And the ground hard with ice,And crisp with frost the stubble land.
"T’eh clashtyn sheean, t’eh er e chassyn, ","He hears a sound, he’s all awake,",He hears a noise — he’s all awake
Roie myr fer veagh ass e cheeayl. ,Running like a crazy man.,Again? on tip-toe down the hill
"T’eh Goody Blake dy baghtal r’akin,[3] ","’Tis Goody Blake clearly visable,
[3] dy baghtal r’akin] ‘clearly visible’. The MS gives [dy baghtal fakin] ‘seeing clearly’,",He softly creeps ’tis Goody Blake;
Ta ee ec cleigh lesh Harry Gill.,She’s at a hedge owned by Harry Gill.,She’s at the hedge of Harry Gill!                          
"Yn boggey v’er ve harrish common, ","His joy was exceptional,",Right glad was he when he beheld her:
Brasnag lurg brasnag myr v’ee ec thie.,"Stick after stick as though she was at home,",Stick after stick did Goody pull:
Follit v’eh cooyl billey-tramman,"Hidden, he was behind an elder tree,","He stood behind a bush of elder,"
Choud as veagh ee ghoaill e saie.,Whilst she’d be taking her fill.,Till she had filled her apron full.
"Hyndaa ee eisht son dy gholl thie, ","She turned then to go home,","When with her load she turned about,"
Bundeil dy vrasnagyn va eck ,"A bundle of sticks she had,",The by-way back again to take;
"Tra lheim e magh myr dooinney keoie, ","When he jumped out like a madman,","He started forward, with a shout,"
As haare eh greim er Goody Blake.,And caught a grip of Goody Blake.,And sprang upon poor Goody Blake.
"Son haare eh hold j’ee eck çhyndaa, ","For he caught a hold of her as she turned,","And fiercely by the arm he took her,"
As chum eh ee myr dooinney keoie. ,And held her like a madman.,"And by the arm he held her fast,                            "
Dy dewil yn roih eck ren eh craa ,Cruelly he shook her arm,"And fiercely by the arm he shook her,"
"As geam, “t’ou taarit aym ny yeih.”","And yelled, “I’ve caught you after all.”","And cried, ""I've caught you then at last!""--"
"Agh Goody cha ren fockle gra, ","But Goody didn’t say a word,","Then Goody, who had nothing said,"
Agh hug ee raad da e bundeil ,But let her bundle go,Her bundle from her lap let fall;
Ayns padjer ren ee eisht hyndaa ,In prayer she then turned,"And, kneeling on the sticks, she prayed"
Gys Jee ta harrish ooilley reill.,To God who rules over all.,To God that is the judge of all.
Padjer myr shoh ren ee y ghoaill ,"A prayer, thus she prayed,","She prayed, her withered hand uprearing,"
"As Harry ren ghoaill tastey jeh,","And Harry he took heed of it,",While Harry held her by the arm--
"“O Yee, ta harrish ooilley reill, ","“O God, who rules over all,","""God! who art never out of hearing,"
Nagh lhig uss da ve arragh çheh!”,Don’t you let him be warm ever again!”,"O may he never more be warm!""                           "
Yn eayst va feayr erskyn e kione. ,The moon was cold above her head,"The cold, cold moon above her head,"
Yn traa va Goody prayll myr shoh. ,The time when Goody prayed thus.,Thus on her knees did Goody pray;
Ghow Harry tastey jeh ny goan ,Harry took heed of the words,Young Harry heard what she had said:
As hie eh roish cha feayr as rio.,And he went (left) as as cold as ice,And icy cold he turned away.
V’eh goll as gaccan laa ny vairagh ,He was going and grumbling the next day,He went complaining all the morrow
Dy row eh gennaght feayraght sthill ,That he was still feeling cold,That he was cold and very chill:
"E chree va çhing, e eddin groamagh.","His heart was sick, his face gloomy.","His face was gloom, his heart was sorrow,"
Ah treih yn laa da Harry Gill! ,Alas! That day for Harry Gill!,Alas! that day for Harry Gill!
"Yn laa hie cooat mooar er wheesh, ","That day a big coat went on him so much,","That day he wore a riding-coat,"
"Agh cha ghow eh çhiass erbee, ",But he didn’t get any warmth,But not a whit the warmer he:                              
"Jerdein lurg shen cheu eh jees, ","The Thursday after that he wore two,","Another was on Thursday brought,"
As roish y doonaght cheau eh three.,And ere the Sabbath he wore three.,And ere the Sabbath he had three.
"Cha row e agh fardail ny yeih, ",It was only in vain though;,"'Twas all in vain, a useless matter,"
"Dagh lhiushag myr va currit da, ","Each blanket as was given to him,",And blankets were about him pinned;
Va e eecklyn bwoilley noi ry hoi ,"His teeth were striking against each other,",Yet still his jaws and teeth they clatter;
Myr uinnag lesh y gheay veagh craa. ,Like a window would shake with the wind ,Like a loose casement in the wind.
Ren Harry coayl e eill myr shoh ,And Harry lost his flesh like this;,And Harry's flesh it fell away;
"Dy row dagh nane gaoill tastey jeh, ","So everyone took heed,","And all who see him say, 'tis plain,"
Cre erbee choud as veagh eh bio ,However long as he would be alive,"That, live as long as live he may,"
Nagh bee eh dy bragh arragh çheh.,He never will be warm again.   ,He never will be warm again.   
"Cha vow shiu voish coraa ny sheean, ","You will not get a voice or sound from him,","No word to any man he utters,"
Cha loayr eh veg rish beg ny mooar. ,"He won’t speak a word to small or large,","A-bed or up, to young or old;"
Agh taggloo kinjagh t’eh rish hene,Only constantly talking to himself,"But ever to himself he mutters,"
"“Ta Harry Gill boght feayr dy liooar,"" ","“Poor Harry Gill is cold enough,”","""Poor Harry Gill is very cold."""
"Ny lhie ny girree, laa ny oie, ","In bed or rising, day or night;","A-bed or up, by night or day;"
E eeacklyn snaggeraght t’ad sthill. ,His teeth still chattering they are.,"His teeth they chatter, chatter still."
"Nish smooinee, shiuish erinee, ","Now think, ye farmers,","Now think, ye farmers all, I pray,"
Er Goody Blake as Harry Gill.,About Goody Blake and Harry Gill.,Of Goody Blake and Harry Gill!
,,
,,
"[1] vrasnaghey] though not found eslwehere as a noun, here is certainly is a noun (in dual case). The assumed meaning is ‘agitators / provokers, etc.’, based on the verb / adjective [brasnaghey] ‘provoking, urging, etc.’",,
"[2] Agh] taken here to be [Ugh] — an interjection of disappointment, frustration or defeat (Cregeen).",,
"[3] dy baghtal r’akin] ‘clearly visible’. The MS gives [dy baghtal fakin] ‘seeing clearly’,",,
