Manx,English,Diplomatic
"My Hiarn ta slane my varrantys,","My Lord, who art my complete assurance,",My Hiarn ta slane my varrantys 
"Coadee mee ayns Dty ynrickys,",Protect me in Your uprightness,Coaddee mee ayns dy ynrickys 
"O gow ersooyl dagh fritlag loau,","O, take away every rotten rag,",O ghow ersooyl dagh fritlag lhou
Pishooyn ta coyrt my annym mow.,Poisons that bring destruction to my soul.,Pishooyn ta curt my annym mow
,,
"As gow mee myr dy beagh er laue,","And take me as though by the hand,",As ghow mee mor dy bagh er laue
"As leeid mee ayns yn raad gys Niau,","And lead me in the way to Heaven,",As leeid mee ayns yn raaid gys Niau
"Ayns shen dy ve dy bragh ec fea,","To be there forver at peace, ",Ayns shen dy ve dy braagh eck fea
Voish seihll dy coshey croymmey sheese.,From a world of ??? ,Voish seihll dy coshey croamey sheese
,,
"Hiarn, ta mee yeearree dy chur booise,","Lord, I yearn to give thanks,",Hiarn t amee yeerree dy chur booise 
"As ooashlagh Uss ta reill dy braa,","And worship You, who rules forever,",As wooashlagh Uss ta reill dy braa
"Erson Dty ghraih nagh vel caghlaa,","For your Love, that never changes,",Erson dy ghraih nagh vell caghlaa
"O Uss va marroo, Agh nish bio.","O You who were dead, But now alive.","O Uss va marroo, Agh nish bio"
,,
"Choud’s ta mee liorish Dty Spyyryd mie,","Whilst I am beside Your good Spirit,",Chouds ta mee liorish dy Spyyryd mie
"Gys ver Oo lhesh mee sauçhey thie,","Until you bring me safely home,",Gys ver Oo lhesh mee sauechey thie
"Dy ve mayrt Hene sy çheer gloyroil,","To be with You Yourself in the glorious land,",Dy ve mayrt Hene sy cheer gloyrrooyl
"As croamey ec Dty Stoyl Reeoyl,",And bowing at Your Royal Throne.,As croamey eck dy Stoal Reeoyl
"Ayns eunysyn ta fegooish kione,",In delights that are without end,Ayns eunysyn ta fegoish kione 
"Marish Dty Ainleyn, as Dty chloan.","With Your Angels, and Your children.","Marish dy Ainleyn, as dy chloan."
,,
"Scruit; yn çheyoo laa yeig jeh yn vee s’jerree jeh’n geurey, 1900.","Written; the sixteenth of January, 1900.",Scrieut yn sheoo laa yeih jeh yn vee skerree jeh’n geurey 1900
,,
Farquhar,Farquhar,Farquhar
