Manx,English,Notes
Ga dyllee ’n ‘arreyder’ Ta soilshey roin.,The look-out man reports a “Light ahead!”,
"Gyn scansh ny geill, yn lhong hie er e kione; ","And yet they heeded not, but onward sped ; ",
"Sheean brishey fuygh, as yllagh hrimshagh sleih, ","While crashing timbers told  the mournful tale, ",
Dy leah ren soilshagh yn vooir-cherraght-hreih. ,"And cries of drowning men rose on the gale,",
"Nagh dewil croie-chreeagh va ny marrinee,","But yet this heartless and inhuman crew,",
Yn Captan va fegooish erreeish erbee.,And captain who no spark of pity knew.,
"D’aagail ny deiney shoh gyn shuit ny saase,","Set sail and sped across the briny waves, ",
Sinkeil fo’n toyn goll sheese gys lhiaghtyn baaish. ,"And left these men sinking to their watery graves,",
"Yiow mraane as moiraghyn kied geam as coe, ","Now wives and mothers may their loss deplore,",
Fegooish treishteil dy akin reesht ad bio ; ,Nor hope to see them in this world no more;,
"Mraane treoghe as cloan cur seose nyn accan treih, ",Widows and orphans may lament and cry,
Gys nee eer jeir failleil as scuirr dy roie.,Until the sources no moisture can supply.,
Eer jiu’ moir ghooie jeusyn t’er choayl nyn gloan,"One feeling mother has this day been borne,",
T’ee ersooyl jeh’n seihll e trimshey ayn ec kione ; ,"To the dark grave, whence none again return,",
"Er hooyl yn raad er nagh vel ’nane cheet back, ","Her course is finish’d, and her mourning done —",
Hie gys yn oaie dobberan son e mac. ,"Gone to the tomb, lamenting for her son.",
"As ad t’ermayrn ta faagit trimshagh treih, ","And those who yet remain are left forlorn,",
Gyn arragh jerkal rish nyn gaarjyn thie ; ,"And now in black despair may sigh and mourn,",
Yn cree failleil as brisht ec curmyner ,Until the heart itself shall melt with woe,
"Yn chloan annoon, ta faagit fegooish ayr. ",For babes that shall no father’s caress know.,
"Treill son yn dreih, nagh bollagh’ ve gyn ghrayse, ","How base, how cruel must the wretch appear, ",
Ec clashtyn sleih sinkeil as goll dy baase. ,While drowning cries rung on the morning air.,
"Ve eer fardail son cooney huggey’ d’eam, ",The prayer for help to him was made in vain —,
"Deyrey ny nearey, cha row er goaill greme. ","He heard, but yet without remorse or pain,",
"Goaill stiagh yn baatey myr ve chea ersooyl, ","Took in the boat, and from the carnage fled,",
Er yn treih-artys slane chyndaa eh chooyl.,He left the waves to rise above their head ;,
"As gra rish hene (gyn dooyt) myr hie eh roish, ","And thought, no doubt, while spreading out the sails,",
Cha der ny merriu briaght er y chooish. ,That all was right since “dead men tell no tales.”,
"Agh Eh ta reill ayns gloyr erskyn yn aer, ","But yet there is a God wh rules on high,",
Dy chooilley nhee jeh’n sorch’ Te curmyner ; ,"And that dark thing was light before his eye,",
Cairagh ta Jee as cairys ver Eh daue. ,"And he is just, and justice must be done —",
My vees ad gaire jeh nish’ te roue ayns niau. ,"If not by men, ’twill be found at His throne.",
"Yn oaie nee fosley'n' aarkey seose livrey, ","The grave shall yield, the sea give up her slain,",
"As mie as sie nee reesht meeiteil un laa, ","And, just and unjust, shall all meet again.",
"S’ Ny deiney shoh ta Edgar er sinkeil, ","Those victims sleeping ’neath the waves afar,",
Ec stoyl-ny-briwnys marish nee meeiteil. ,"And these men that has sunk,",
"Nish ooilley’n gherjagh faagit ayns y theill, ",Shall stand with Edgar at the judgement bar.,
"Dauesyn ta dobberan, de’n un treishteil: ","Now all the comfort left to soothe the mind,",
,"Of those who now are left to grieve behind, ",
"Dy jean ad reesht lurg daue yn seihll aagail, ","In this one hope, When Nature’s ties are riven,",
Meeiteil ayns niau gyn arragh dy phartail. ,"To m again, and never part in heaven ;",
Eh ghellal ghewil myr brasnag aileagh chreen ,"While Edgar’s name, throughout all future time,",
"Nee er eh ennym jooildit, lostey beayn.","Shall be a byword and a mock for crime,",
"Agh ennym Edgar kinjagh faagit mooie, ","This cruel action like a brand of shame,",
Anghoo as scammylt choud's vees seihll dy roie.,Shall ever burn upon his hated name.,
JOHN QUIRK. ,EDWD. FARAGHER,
"Carnegreie, Patrick, Oct. 13,1874 ",Rushen,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
